,id,master_id,year,artists,title,labels,styles,master_url,formats,rym_url,rating_value,rating_count
718,4741575,314116,,"[('Stevie Wonder', 'https://api.discogs.com/artists/18956')]",Blowin' In The Wind,"[('T-54136', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/314116,"['7""', '45 RPM', 'Single']",,,
719,9513186,428441,,"[('Smokey Robinson', 'https://api.discogs.com/artists/86094'), ('The Miracles', 'https://api.discogs.com/artists/80124')]",Special Occasion,"[('T-54172', 'Tamla', 'https://api.discogs.com/labels/6200')]","['Soul', 'Rhythm & Blues']",https://api.discogs.com/masters/428441,"['7""', '45 RPM', 'Single']",,,
720,1639310,66641,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",I Heard It Through The Grapevine,"[('T-54176', 'Tamla', 'https://api.discogs.com/labels/6200')]","['Rhythm & Blues', 'Soul']",https://api.discogs.com/masters/66641,"['7""', '45 RPM', 'Single']",https://rateyourmusic.com/release/single/marvin-gaye/i-heard-it-through-the-grapevine-you.p/,4.13,13
721,8815962,87440,,"[('Stevie Wonder', 'https://api.discogs.com/artists/18956')]",Songs In The Key Of Life,"[('T13-340C2', 'Tamla', 'https://api.discogs.com/labels/6200')]","['Soul', 'Disco']",https://api.discogs.com/masters/87440,"['LP', 'Album', '7""', '33 ⅓ RPM', 'EP', 'Album', 'Stereo']",https://rateyourmusic.com/release/album/stevie-wonder/songs-in-the-key-of-life-2/,4.16,9372
722,3449731,87463,,"[('Stevie Wonder', 'https://api.discogs.com/artists/18956')]",Fulfillingness' First Finale,"[('T6-332S1', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/87463,"['LP', 'Album', 'Stereo']",https://rateyourmusic.com/release/album/stevie-wonder/fulfillingness-first-finale-1/,3.84,3177
723,3711403,66739,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",I Want You,"[('T6-342S1', 'Tamla', 'https://api.discogs.com/labels/6200')]","['Soul', 'Disco']",https://api.discogs.com/masters/66739,"['LP', 'Album']",https://rateyourmusic.com/release/album/marvin-gaye/i-want-you/reviews/5/,3.81,2196
724,5186036,66793,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",Live At The London Palladium,"[('T7-352R2', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/66793,"['LP', 'Album']",https://rateyourmusic.com/release/album/marvin-gaye/live-at-the-london-palladium/,3.60,209
725,1623214,199291,,"[('The Marvelettes', 'https://api.discogs.com/artists/86097')]",Please Mr. Postman,"[('Tamla 54046', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Rhythm & Blues'],https://api.discogs.com/masters/199291,"['7""', '45 RPM', 'Single']",https://rateyourmusic.com/release/single/the-marvelettes/please-mr-postman/,3.49,4
726,1248264,66631,,"[('Marvin Gaye', 'https://api.discogs.com/artists/18984')]",What's Going On,"[('TS310', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/66631,"['LP', 'Album', 'Reissue', 'Limited Edition']",https://rateyourmusic.com/release/album/marvin-gaye/whats-going-on-2/,4.09,15458
727,2938814,210718,,"[('Marvin Gaye & Tammi Terrell', 'https://api.discogs.com/artists/517766')]",United,"[('277', 'Tamla', 'https://api.discogs.com/labels/6200'), ('TS 277', 'Tamla', 'https://api.discogs.com/labels/6200')]",['Soul'],https://api.discogs.com/masters/210718,"['LP', 'Album', 'Repress', 'Stereo']",https://rateyourmusic.com/release/album/marvin-gaye-and-tammi-terrell/united/,3.61,532
